VenueID,Name
4920,Smith-Wills Stadium
4921,SPAR Stadium
4922,St. Cloud Commons
4923,Stade Amedee-Roy
4924,Stade Municipal de Quebec
4925,Stuart Stadium
4926,Sulphur Dell
4927,Louisiana SuperDome
4928,Swayne Field
4930,The Ballpark
4931,The Ballpark at St. John's
4932,The Cocoa Expo
4933,Thurman Munson Memorial Stadium
4934,Tim McCarver Stadium
4935,Tingley Field
4936,Tinker Field
4937,V.J. Keefe Memorial Field
4938,Vaughn Street Park
4939,Veterans Field
4940,Veterans Memorial Stadium
4941,Vince Genna Stadium
4942,Vincent-Beck Stadium
4943,War Memorial Stadium
4944,Warner Park
4945,Washington Park
4946,Waters Field
4947,Welland Sports Stadium
4948,West Palm Beach Municipal Stadium
4949,Westgate Park
4950,Wickers Stadium
4951,Winnipeg Stadium
4952,Witter Field
4953,World War Memorial Stadium
4954,Yale Field
4955,Municipal Stadium
2971,Les Murakami Stadium
6,Tiger Stadium
8,Hubert H. Humphrey Metrodome
9,Yankee Stadium
11,The Kingdome
18,Cinergy Field
21,Astrodome
23,Milwaukee County Stadium
25,Shea Stadium
27,Three Rivers Stadium
28,Qualcomm Stadium
29,3Com Park at Candlestick Point
30,Busch Stadium
2502,Hermosillo
2515,Baseball City Stadium
2531,Desert Sun Stadium
2533,Florida Power Park
2538,"US West Sports Complex, Hi Corbett Field"
4289,Nachan Ka'an
2543,Mark Light Stadium
2620,Regions Park
2624,PGE Park
2641,Drillers Stadium
2660,Doubleday Field
2505,Fort Lauderdale Stadium
2509,Chain of Lakes Park
2521,Knights Stadium
26,Veterans Stadium
2545,Christensen Stadium
2721,Robert F. Kennedy Memorial Stadium
2732,Blair County Ballpark
2737,C.O. Brown Stadium
2741,Capital City Stadium
3629,Pim Mulier Stadium
3869,Estadio Enzo Hernandez
4129,Homestead Sports Complex
2746,Civic Stadium
2751,Cooper Stadium
2752,Damaschke Field
2776,Golden Park
2798,Lake Olmstead Stadium
2800,Lawrence-Dumont Stadium
2804,Lynx Stadium
3752,Estadio Luis Rodriguez Olmo
2867,Municipal Stadium
3109,League Park
3110,League Park
3111,Arlington Stadium
3112,Atlanta-Fulton County Stadium
3113,Baker Bowl
3114,Bennett Park
3115,Braves Field
3116,Cleveland Municipal Stadium
3117,Colt Stadium
3118,Columbia Park
3119,Comiskey Park
3120,Crosley Field
3121,Ebbets Field
3123,Exhibition Stadium
3124,Exposition Park
3125,Forbes Field
3126,Griffith Stadium
3127,Hilltop Park
3128,Huntington Avenue Grounds
3129,Jarry Park
3131,League Park
3132,Lloyd Street Grounds
3133,Los Angeles Memorial Coliseum
3134,Memorial Stadium
3135,Metropolitan Stadium
3136,Mile High Stadium
3137,Municipal Stadium
3138,Palace of the Fans
3139,Polo Grounds
3140,Polo Grounds
3141,Robison Field
3142,Seals Stadium
3143,Shibe Park
3144,South End Grounds
3147,South End Grounds
3148,South Side Park
3149,Sportsman's Park
3150,Washington Park
3153,Wrigley Field
3154,Aloha Stadium
3155,Armory Park
3156,Burns Park
3157,Fairview Park
3158,Jailhouse Flats
3159,League Park
3160,League Park
3161,Mahaffey Park
3162,Neil Park
3163,Neil Park
3164,Oriole Park
3165,Ramona Park
3166,Rocky Point Park
3167,Sportsman's Park
3168,Sportsman's Park
3169,West Side Park
3170,Wiedenmeyer's Park
3310,Francis Wong Stadium
3311,Maehara Baseball Stadium
3709,St. Albert Legion Park
3889,Enrique 'Trapo' Torrebiarte Stadium
2809,McDermott Field
2811,Memorial Stadium
2812,Mike Lansing Field
2834,Ray Winder Field
2838,Rosenblatt Stadium
2847,Skylands Park
2860,Watt Powell Park
2863,Yakima County Stadium
2909,Progress Energy Park
426,Default Central (G)
454,Default AST (G)
456,Default CST (G)
3290,Melching Field
3649,Mestsky Stadium
3650,Blansko Field
3651,Ostrava Field
4069,Daniel Canonico Stadium
4189,Tianmu Baseball Stadium
4190,Chengcing Lake Baseball Stadium
2952,Estadio General Heriberto Jara Corona
2954,Estadio 20 de Noviembre
3033,Estadio Br. Julio Hernandez Molina
3549,Alumni Field
3550,Cardines Field
3551,Frasier Field
3552,Fuessenich Park
3554,J.P. Riddle Stadium
3555,Joe Wolfe Field
3556,MacKenzie Stadium
3557,MLB Urban Youth Academy
3559,Wahconah Park
3210,Estadio Chihuahua
3449,English Field
4049,Doak Field at Dail Park
4050,Minges-Overton Baseball Complex
4051,Frazier Field
3249,Buck O'Neil Complex
5018,American Airlines Arena
5020,Amway Center
5022,AT&T Center
5025,Bankers Life Fieldhouse
5029,BMO Harris Bradley Center
5033,Chesapeake Energy Arena
5038,FedEx Forum
5042,Georgia Dome
5044,Gillette Stadium
5045,Heinz Field
5057,Moda Center
5062,Oakland-Alameda County Coliseum Arena
5069,Quicken Loans Arena
5078,Smoothie King Center
5083,Talking Stick Resort Arena
5084,Target Center
5086,The Palace at Auburn Hills
5087,Time Warner Arena
5089,Toyota Center
5095,Vivint Smart Home Arena
5105,Winnipeg Arena
5106,America West Arena
5107,Boston Arena
5108,Boston Garden
5109,Buffalo Memorial Auditorium
5110,Omni Coliseum
5111,Stampede Corral
5112,XL Center
5113,Greensboro Coliseum
5114,Chicago Coliseum
5115,Chicago Stadium
5116,Colisee Pepsi
5117,McNichols Sports Arena
5118,Met Center
5119,Reunion Arena
5120,Detroit Olympia
5121,Miami Arena
5122,Long Beach Arena
5123,The Forum
5124,Montreal Arena
5125,Jubilee Arena
5126,Mount Royal Arena
5127,Montreal Forum
5128,Kemper Arena
5129,McNichols Arena
5130,Continental Airlines Arena
5131,Nassau Veterans Memorial Coliseum
5132,Madison Square Garden (III)
5133,Ottawa Civic Center
5134,Spectrum
5135,Civic Arena
5136,Cow Palace
5137,St. Louis Arena
5138,Expo Hall
5139,Thunderdome
5140,Mutual Street Arena
5141,Maple Leafs Gardens
5142,Pacific Coliseum
5143,Capital Centre
5144,Phillips Arena
5440,Campbell's Field
5441,Cooper Park
5442,Riverfront Stadium
5444,The Ballpark at Harbor Yard
