GameID,Season,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
529510,2018,4/6/2018 17:10,Final,112,4,3,4,0.429,158,5,5,3,0.429,32,night,4,2,Regular Season
529515,2018,4/6/2018 17:10,Final,135,4,2,6,0.25,117,1,6,2,0.25,2392,night,3,1,Regular Season
529514,2018,4/6/2018 19:07,Final,133,9,3,6,0.333,108,13,6,2,0.333,1,night,3,1,Regular Season
529519,2018,4/7/2018 10:05,Final,110,3,3,6,0.333,147,8,5,4,0.333,3313,day,4,3,Regular Season
529526,2018,4/7/2018 10:05,Final,121,3,6,1,0.857,120,2,4,4,0.857,3309,day,3,2,Regular Season
529530,2018,4/7/2018 10:05,Final,139,3,1,7,0.125,111,10,7,1,0.125,3,day,3,2,Regular Season
529522,2018,4/7/2018 11:10,Final,116,6,3,4,0.429,145,1,3,4,0.429,4,day,3,2,Regular Season
529529,2018,4/7/2018 11:10,Final,136,11,4,3,0.571,142,4,4,3,0.571,3312,day,2,2,Regular Season
529517,2018,4/7/2018 11:15,Final,109,3,6,2,0.75,138,5,4,4,0.75,2889,day,3,2,Regular Season
529520,2018,4/7/2018 13:05,Final,112,5,4,4,0.5,158,2,5,4,0.5,32,day,4,3,Regular Season
529523,2018,4/7/2018 13:10,Final,118,1,2,4,0.333,114,0,3,5,0.333,5,day,3,2,Regular Season
529524,2018,4/7/2018 15:05,Final,119,5,2,6,0.25,137,7,4,3,0.25,2395,day,2,1,Regular Season
529525,2018,4/7/2018 15:05,Final,146,1,2,6,0.25,143,20,3,4,0.25,2681,night,3,2,Regular Season
529521,2018,4/7/2018 16:05,Final,113,7,2,5,0.286,134,4,6,2,0.286,31,night,4,3,Regular Season
529528,2018,4/7/2018 16:10,Final,135,0,2,7,0.222,117,1,7,2,0.222,2392,night,3,2,Regular Season
529531,2018,4/7/2018 17:05,Final,141,1,5,4,0.556,140,5,4,6,0.556,13,night,3,2,Regular Season
